freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.885e+01,1.837e+01,6.944e+02,7.316e+02
1.5,6.226e+01,3.909e+01,4.086e+02,5.099e+02
3.1,6.882e+01,3.504e+01,2.800e+01,1.319e+02
4.6,6.868e+01,3.659e+01,3.147e+02,4.200e+02
6.1,6.671e+01,3.405e+01,1.206e+03,1.307e+03
7.7,7.089e+01,3.654e+01,2.028e+03,2.135e+03
9.2,7.123e+01,3.856e+01,2.535e+03,2.645e+03
10.7,7.128e+01,3.798e+01,3.413e+03,3.522e+03
12.3,7.538e+01,3.760e+01,4.653e+03,4.766e+03
13.8,7.731e+01,4.001e+01,6.028e+03,6.146e+03
15.3,7.996e+01,3.873e+01,7.650e+03,7.768e+03
16.8,9.907e+01,3.897e+01,9.448e+03,9.586e+03
18.4,9.324e+01,4.037e+01,1.140e+04,1.153e+04
19.9,9.884e+01,4.434e+01,1.254e+04,1.268e+04
21.4,9.942e+01,4.376e+01,1.498e+04,1.512e+04
23.0,9.010e+01,4.397e+01,1.923e+04,1.936e+04
24.5,9.788e+01,4.135e+01,2.324e+04,2.338e+04
26.0,9.549e+01,4.248e+01,2.650e+04,2.664e+04
27.6,9.809e+01,3.873e+01,2.997e+04,3.010e+04
29.1,1.001e+02,3.898e+01,3.441e+04,3.455e+04
30.6,9.059e+01,4.064e+01,3.983e+04,3.996e+04
32.2,1.089e+02,4.149e+01,4.639e+04,4.654e+04
33.7,1.363e+02,4.542e+01,5.370e+04,5.388e+04
35.2,1.152e+02,4.905e+01,6.187e+04,6.203e+04
36.8,9.882e+01,4.962e+01,7.027e+04,7.041e+04
38.3,1.039e+02,5.755e+01,7.758e+04,7.774e+04
39.8,1.015e+02,6.041e+01,8.492e+04,8.508e+04
41.4,9.803e+01,5.531e+01,9.236e+04,9.251e+04
42.9,1.179e+02,6.717e+01,1.069e+05,1.071e+05
44.4,1.494e+02,9.818e+01,1.283e+05,1.285e+05
45.9,2.184e+02,1.197e+02,1.559e+05,1.562e+05
47.5,3.283e+02,1.697e+02,1.885e+05,1.890e+05
49.0,4.645e+02,2.507e+02,2.263e+05,2.270e+05
50.5,6.291e+02,3.700e+02,2.736e+05,2.746e+05
52.1,8.683e+02,5.428e+02,3.343e+05,3.357e+05
53.6,1.371e+03,8.052e+02,4.305e+05,4.327e+05
55.1,2.289e+03,1.287e+03,5.528e+05,5.563e+05
56.7,2.992e+03,2.345e+03,6.997e+05,7.051e+05
58.2,3.329e+03,3.774e+03,8.537e+05,8.608e+05
59.7,4.477e+03,5.599e+03,9.197e+05,9.298e+05
61.3,6.568e+03,7.490e+03,1.001e+06,1.015e+06
62.8,7.162e+03,8.247e+03,1.224e+06,1.240e+06
64.3,5.508e+03,8.475e+03,1.689e+06,1.703e+06
65.9,4.737e+03,1.041e+04,2.598e+06,2.613e+06
67.4,6.581e+03,1.367e+04,3.443e+06,3.463e+06
68.9,7.948e+03,1.506e+04,3.444e+06,3.467e+06
70.5,8.604e+03,1.508e+04,2.881e+06,2.905e+06
72.0,8.877e+03,1.438e+04,2.265e+06,2.288e+06
73.5,8.898e+03,1.397e+04,1.816e+06,1.839e+06
75.0,9.746e+03,1.469e+04,1.467e+06,1.491e+06
76.6,1.101e+04,1.532e+04,1.168e+06,1.194e+06
78.1,9.466e+03,1.286e+04,8.748e+05,8.971e+05
79.6,6.838e+03,9.065e+03,6.998e+05,7.157e+05
81.2,5.192e+03,6.840e+03,6.101e+05,6.221e+05
82.7,4.348e+03,5.618e+03,5.359e+05,5.459e+05
84.2,3.246e+03,4.242e+03,4.686e+05,4.761e+05
85.8,1.822e+03,2.506e+03,3.959e+05,4.002e+05
87.3,7.333e+02,1.497e+03,3.233e+05,3.255e+05
88.8,4.348e+02,1.347e+03,2.875e+05,2.893e+05
90.4,5.016e+02,1.993e+03,2.804e+05,2.829e+05
91.9,5.268e+02,2.265e+03,2.923e+05,2.951e+05
93.4,4.667e+02,1.506e+03,2.843e+05,2.862e+05
95.0,8.093e+02,1.810e+03,2.566e+05,2.592e+05
96.5,1.405e+03,3.278e+03,2.292e+05,2.339e+05
98.0,1.893e+03,4.676e+03,2.002e+05,2.068e+05
99.6,2.653e+03,5.874e+03,1.729e+05,1.814e+05
101.1,3.320e+03,6.530e+03,1.465e+05,1.563e+05
102.6,3.179e+03,6.290e+03,1.212e+05,1.307e+05
104.1,2.121e+03,5.012e+03,9.174e+04,9.888e+04
105.7,1.309e+03,4.353e+03,6.587e+04,7.153e+04
107.2,1.108e+03,3.741e+03,6.113e+04,6.598e+04
108.7,1.962e+03,2.981e+03,5.284e+04,5.779e+04
110.3,2.801e+03,3.371e+03,4.515e+04,5.132e+04
111.8,1.873e+03,3.712e+03,3.866e+04,4.424e+04
113.3,1.593e+03,3.611e+03,3.189e+04,3.709e+04
114.9,1.865e+03,3.950e+03,2.732e+04,3.313e+04
116.4,2.308e+03,4.164e+03,2.336e+04,2.983e+04
117.9,3.023e+03,4.045e+03,2.070e+04,2.777e+04
119.5,3.752e+03,3.546e+03,1.851e+04,2.581e+04
121.0,4.556e+03,3.147e+03,1.795e+04,2.566e+04
122.5,5.014e+03,3.771e+03,1.804e+04,2.682e+04
124.1,4.875e+03,5.330e+03,1.708e+04,2.728e+04
125.6,5.164e+03,6.058e+03,1.641e+04,2.763e+04
127.1,5.546e+03,6.710e+03,1.565e+04,2.791e+04
128.7,5.885e+03,7.606e+03,1.487e+04,2.837e+04
130.2,6.151e+03,8.316e+03,1.410e+04,2.856e+04
131.7,5.627e+03,7.489e+03,1.231e+04,2.543e+04
133.2,2.957e+03,3.683e+03,7.319e+03,1.396e+04
134.8,8.694e+02,1.118e+03,2.807e+03,4.794e+03
136.3,7.782e+02,7.247e+02,2.180e+03,3.683e+03
137.8,8.240e+02,4.614e+02,2.122e+03,3.408e+03
139.4,8.357e+02,2.769e+02,1.822e+03,2.935e+03
140.9,8.383e+02,1.810e+02,1.504e+03,2.523e+03
142.4,8.584e+02,1.687e+02,1.319e+03,2.346e+03
144.0,8.966e+02,2.341e+02,1.185e+03,2.315e+03
145.5,9.270e+02,2.876e+02,1.039e+03,2.254e+03
147.0,9.576e+02,3.292e+02,9.189e+02,2.206e+03
148.6,9.879e+02,4.097e+02,8.149e+02,2.212e+03
150.1,1.029e+03,4.715e+02,7.634e+02,2.264e+03
151.6,1.107e+03,4.872e+02,7.049e+02,2.299e+03
153.2,1.181e+03,4.703e+02,6.508e+02,2.302e+03
154.7,1.430e+03,5.394e+02,5.676e+02,2.537e+03
156.2,1.581e+03,6.451e+02,5.158e+02,2.742e+03
157.8,1.626e+03,7.258e+02,4.943e+02,2.846e+03
159.3,1.681e+03,7.310e+02,4.314e+02,2.844e+03
160.8,1.756e+03,7.239e+02,4.018e+02,2.882e+03
162.3,1.873e+03,7.093e+02,4.531e+02,3.035e+03
163.9,2.098e+03,7.011e+02,5.164e+02,3.315e+03
165.4,2.593e+03,8.362e+02,7.812e+02,4.210e+03
166.9,3.128e+03,9.022e+02,1.135e+03,5.164e+03
168.5,3.466e+03,8.207e+02,1.556e+03,5.842e+03
170.0,3.548e+03,9.239e+02,2.190e+03,6.661e+03
171.5,3.663e+03,1.208e+03,2.952e+03,7.824e+03
173.1,3.647e+03,1.639e+03,3.777e+03,9.064e+03
