freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.753e+01,4.052e+02,7.708e+00,4.504e+02
1.5,3.723e+01,2.353e+02,2.555e+01,2.981e+02
3.0,2.130e+01,2.167e+01,2.406e+01,6.703e+01
4.4,2.096e+01,2.642e+02,2.481e+01,3.100e+02
5.9,2.238e+01,1.218e+03,2.488e+01,1.265e+03
7.4,2.470e+01,2.516e+03,3.169e+01,2.572e+03
8.9,2.369e+01,3.246e+03,3.949e+01,3.309e+03
10.4,2.349e+01,2.623e+03,2.564e+01,2.672e+03
11.8,2.281e+01,3.599e+03,2.419e+01,3.646e+03
13.3,2.249e+01,5.410e+03,2.389e+01,5.457e+03
14.8,2.740e+01,7.584e+03,3.444e+01,7.646e+03
16.3,4.696e+01,9.977e+03,5.953e+01,1.008e+04
17.8,1.004e+02,1.247e+04,9.435e+01,1.266e+04
19.2,1.651e+02,1.551e+04,8.358e+01,1.576e+04
20.7,1.944e+02,1.858e+04,6.503e+01,1.884e+04
22.2,8.540e+01,2.092e+04,3.287e+01,2.104e+04
23.7,3.202e+01,2.374e+04,2.314e+01,2.380e+04
25.2,3.518e+01,2.865e+04,2.952e+01,2.872e+04
26.6,6.470e+01,3.694e+04,4.109e+01,3.704e+04
28.1,1.130e+02,4.739e+04,4.544e+01,4.755e+04
29.6,1.505e+02,5.931e+04,5.076e+01,5.951e+04
31.1,1.467e+02,7.503e+04,6.663e+01,7.525e+04
32.6,1.767e+02,1.000e+05,7.876e+01,1.003e+05
34.0,3.484e+02,1.392e+05,1.151e+02,1.397e+05
35.5,5.452e+02,1.846e+05,2.023e+02,1.853e+05
37.0,8.009e+02,2.602e+05,3.181e+02,2.613e+05
38.5,1.419e+03,4.302e+05,4.304e+02,4.320e+05
40.0,3.211e+03,7.687e+05,7.788e+02,7.727e+05
41.4,6.275e+03,1.090e+06,1.229e+03,1.098e+06
42.9,8.703e+03,1.140e+06,1.201e+03,1.150e+06
44.4,9.542e+03,9.636e+05,9.686e+02,9.741e+05
45.9,9.474e+03,7.325e+05,7.423e+02,7.427e+05
47.4,8.694e+03,5.435e+05,5.814e+02,5.528e+05
48.8,8.211e+03,4.109e+05,5.507e+02,4.196e+05
50.3,8.995e+03,3.436e+05,6.401e+02,3.533e+05
51.8,9.378e+03,2.746e+05,6.222e+02,2.846e+05
53.3,9.830e+03,2.142e+05,5.593e+02,2.246e+05
54.8,1.050e+04,1.678e+05,4.437e+02,1.787e+05
56.2,1.157e+04,1.310e+05,2.839e+02,1.428e+05
57.7,1.331e+04,1.052e+05,2.257e+02,1.187e+05
59.2,1.468e+04,8.380e+04,1.847e+02,9.866e+04
60.7,1.448e+04,6.707e+04,1.383e+02,8.169e+04
62.2,1.468e+04,5.334e+04,1.060e+02,6.813e+04
63.6,1.797e+04,4.017e+04,1.064e+02,5.824e+04
65.1,2.332e+04,2.823e+04,1.158e+02,5.166e+04
66.6,2.993e+04,1.955e+04,1.124e+02,4.960e+04
68.1,4.089e+04,1.283e+04,1.312e+02,5.386e+04
69.6,6.363e+04,8.284e+03,2.604e+02,7.218e+04
71.0,1.084e+05,9.738e+03,6.209e+02,1.187e+05
72.5,1.707e+05,2.511e+04,1.030e+03,1.969e+05
74.0,2.178e+05,5.319e+04,1.251e+03,2.722e+05
75.5,2.409e+05,8.867e+04,1.325e+03,3.309e+05
77.0,2.751e+05,1.498e+05,1.532e+03,4.264e+05
78.4,2.966e+05,2.236e+05,1.560e+03,5.217e+05
79.9,2.655e+05,2.521e+05,1.415e+03,5.190e+05
81.4,1.992e+05,2.221e+05,3.414e+03,4.247e+05
82.9,1.438e+05,1.944e+05,7.590e+03,3.458e+05
84.4,1.113e+05,1.864e+05,7.557e+03,3.052e+05
85.8,8.754e+04,1.638e+05,4.949e+03,2.563e+05
87.3,6.794e+04,1.390e+05,6.270e+03,2.132e+05
88.8,5.478e+04,1.188e+05,7.945e+03,1.815e+05
90.3,4.658e+04,1.032e+05,7.399e+03,1.572e+05
91.8,4.103e+04,9.114e+04,5.685e+03,1.379e+05
93.2,3.650e+04,8.026e+04,4.301e+03,1.211e+05
94.7,3.200e+04,6.960e+04,3.820e+03,1.054e+05
96.2,2.629e+04,5.613e+04,3.053e+03,8.547e+04
97.7,2.162e+04,4.363e+04,2.606e+03,6.786e+04
99.2,2.062e+04,4.120e+04,2.084e+03,6.391e+04
100.6,2.220e+04,4.503e+04,2.392e+03,6.963e+04
102.1,2.231e+04,4.227e+04,2.039e+03,6.662e+04
103.6,2.257e+04,4.129e+04,1.119e+03,6.498e+04
105.1,2.189e+04,3.828e+04,5.950e+02,6.077e+04
106.6,2.019e+04,3.297e+04,2.696e+02,5.343e+04
108.0,1.831e+04,2.754e+04,2.128e+02,4.606e+04
109.5,1.711e+04,2.584e+04,3.073e+02,4.326e+04
111.0,1.679e+04,2.702e+04,4.340e+02,4.424e+04
112.5,1.629e+04,2.790e+04,8.048e+02,4.499e+04
114.0,1.610e+04,3.233e+04,1.397e+03,4.983e+04
115.4,1.627e+04,4.196e+04,1.983e+03,6.021e+04
116.9,1.521e+04,5.679e+04,2.468e+03,7.446e+04
118.4,1.349e+04,7.608e+04,2.961e+03,9.253e+04
119.9,1.099e+04,9.472e+04,3.430e+03,1.091e+05
121.4,8.175e+03,1.080e+05,3.619e+03,1.198e+05
122.8,5.771e+03,1.174e+05,3.668e+03,1.268e+05
124.3,4.012e+03,1.228e+05,3.535e+03,1.303e+05
125.8,2.770e+03,1.275e+05,3.258e+03,1.335e+05
127.3,1.880e+03,1.303e+05,2.963e+03,1.351e+05
