freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.492e+01,3.225e+02,3.663e+00,3.511e+02
1.5,2.807e+01,1.874e+02,1.775e+01,2.332e+02
3.1,1.836e+01,2.049e+01,2.012e+01,5.897e+01
4.6,1.943e+01,3.352e+02,1.968e+01,3.743e+02
6.1,1.868e+01,1.386e+03,1.928e+01,1.424e+03
7.6,1.773e+01,2.636e+03,2.620e+01,2.680e+03
9.2,2.210e+01,3.119e+03,2.851e+01,3.170e+03
10.7,2.593e+01,2.695e+03,1.976e+01,2.741e+03
12.2,2.856e+01,3.925e+03,2.005e+01,3.974e+03
13.8,3.019e+01,5.893e+03,2.271e+01,5.946e+03
15.3,4.783e+01,8.150e+03,3.264e+01,8.230e+03
16.8,5.348e+01,1.056e+04,3.739e+01,1.065e+04
18.3,4.551e+01,1.362e+04,5.073e+01,1.372e+04
19.9,6.312e+01,1.697e+04,4.349e+01,1.707e+04
21.4,4.682e+01,1.967e+04,2.420e+01,1.974e+04
22.9,2.298e+01,2.274e+04,2.236e+01,2.278e+04
24.5,2.639e+01,2.698e+04,2.841e+01,2.703e+04
26.0,4.303e+01,3.292e+04,3.926e+01,3.300e+04
27.5,5.990e+01,4.099e+04,5.262e+01,4.110e+04
29.0,6.488e+01,4.839e+04,7.025e+01,4.852e+04
30.6,5.553e+01,6.107e+04,6.661e+01,6.119e+04
32.1,6.686e+01,8.195e+04,5.534e+01,8.207e+04
33.6,8.561e+01,1.139e+05,6.846e+01,1.141e+05
35.2,9.252e+01,1.663e+05,1.073e+02,1.665e+05
36.7,1.568e+02,2.499e+05,2.268e+02,2.502e+05
38.2,4.323e+02,3.896e+05,4.290e+02,3.904e+05
39.7,1.230e+03,6.218e+05,4.334e+02,6.234e+05
41.3,2.907e+03,9.376e+05,5.175e+02,9.410e+05
42.8,4.465e+03,1.015e+06,7.930e+02,1.020e+06
44.3,5.182e+03,8.454e+05,7.751e+02,8.514e+05
45.8,5.362e+03,6.335e+05,6.326e+02,6.395e+05
47.4,5.788e+03,5.036e+05,5.949e+02,5.099e+05
48.9,6.016e+03,3.978e+05,4.834e+02,4.043e+05
50.4,5.931e+03,2.983e+05,3.854e+02,3.046e+05
52.0,5.988e+03,2.253e+05,2.865e+02,2.316e+05
53.5,6.287e+03,1.757e+05,2.185e+02,1.822e+05
55.0,6.630e+03,1.364e+05,1.676e+02,1.432e+05
56.5,7.166e+03,1.063e+05,1.218e+02,1.136e+05
58.1,7.962e+03,8.349e+04,9.364e+01,9.155e+04
59.6,8.593e+03,6.422e+04,6.616e+01,7.287e+04
61.1,8.745e+03,5.051e+04,4.985e+01,5.930e+04
62.7,8.924e+03,4.041e+04,5.181e+01,4.939e+04
64.2,1.066e+04,3.005e+04,7.604e+01,4.079e+04
65.7,1.466e+04,2.060e+04,1.208e+02,3.538e+04
67.2,1.987e+04,1.376e+04,1.665e+02,3.380e+04
68.8,2.619e+04,9.153e+03,1.741e+02,3.551e+04
70.3,3.491e+04,6.227e+03,1.156e+02,4.125e+04
71.8,5.179e+04,5.914e+03,7.079e+01,5.778e+04
73.4,7.893e+04,1.172e+04,7.602e+01,9.072e+04
74.9,1.104e+05,2.665e+04,1.010e+02,1.371e+05
76.4,1.406e+05,5.327e+04,1.059e+02,1.940e+05
77.9,1.659e+05,9.299e+04,2.884e+02,2.592e+05
79.5,1.945e+05,1.506e+05,8.244e+02,3.459e+05
81.0,1.947e+05,1.828e+05,1.253e+03,3.788e+05
82.5,1.481e+05,1.576e+05,2.237e+03,3.080e+05
84.1,1.134e+05,1.353e+05,2.871e+03,2.516e+05
85.6,8.863e+04,1.181e+05,2.656e+03,2.093e+05
87.1,6.640e+04,1.015e+05,2.201e+03,1.701e+05
88.6,4.834e+04,8.187e+04,1.767e+03,1.320e+05
90.2,3.310e+04,5.778e+04,1.869e+03,9.274e+04
91.7,2.409e+04,4.352e+04,3.762e+03,7.137e+04
93.2,2.232e+04,4.407e+04,4.886e+03,7.127e+04
94.8,2.339e+04,4.743e+04,2.407e+03,7.323e+04
96.3,2.068e+04,4.136e+04,1.200e+03,6.324e+04
97.8,1.843e+04,3.591e+04,1.717e+03,5.605e+04
99.3,1.673e+04,3.188e+04,1.794e+03,5.041e+04
100.9,1.576e+04,2.922e+04,1.425e+03,4.641e+04
102.4,1.480e+04,2.551e+04,1.244e+03,4.156e+04
103.9,1.454e+04,2.287e+04,1.093e+03,3.851e+04
105.5,1.402e+04,2.014e+04,8.734e+02,3.503e+04
107.0,1.416e+04,1.943e+04,5.664e+02,3.415e+04
108.5,1.422e+04,1.867e+04,3.984e+02,3.329e+04
110.0,1.259e+04,1.765e+04,4.903e+02,3.073e+04
111.6,1.070e+04,1.819e+04,6.590e+02,2.955e+04
113.1,9.083e+03,2.088e+04,8.582e+02,3.083e+04
114.6,8.339e+03,2.870e+04,1.093e+03,3.813e+04
116.1,7.757e+03,4.128e+04,1.330e+03,5.036e+04
117.7,6.791e+03,5.713e+04,1.573e+03,6.549e+04
119.2,5.221e+03,7.417e+04,1.746e+03,8.114e+04
120.7,3.516e+03,8.719e+04,1.781e+03,9.249e+04
122.3,2.297e+03,9.603e+04,1.831e+03,1.002e+05
123.8,1.444e+03,9.930e+04,1.825e+03,1.026e+05
125.3,9.574e+02,1.006e+05,1.790e+03,1.034e+05
126.8,6.655e+02,9.998e+04,1.617e+03,1.023e+05
128.4,4.780e+02,9.984e+04,1.331e+03,1.016e+05
129.9,3.518e+02,9.615e+04,1.057e+03,9.756e+04
131.4,2.720e+02,8.427e+04,8.177e+02,8.536e+04
133.0,1.576e+02,4.440e+04,4.283e+02,4.499e+04
134.5,4.271e+01,4.621e+03,7.822e+01,4.742e+03
136.0,2.669e+01,6.703e+02,4.542e+01,7.424e+02
137.5,2.503e+01,6.101e+02,5.419e+01,6.893e+02
139.1,2.438e+01,5.058e+02,7.423e+01,6.044e+02
140.6,2.685e+01,6.274e+02,7.743e+01,7.317e+02
142.1,3.083e+01,9.301e+02,4.439e+01,1.005e+03
143.7,3.246e+01,1.080e+03,2.974e+01,1.142e+03
145.2,3.944e+01,1.208e+03,3.145e+01,1.279e+03
146.7,4.344e+01,1.213e+03,3.063e+01,1.288e+03
148.2,4.270e+01,1.216e+03,3.003e+01,1.289e+03
149.8,3.898e+01,1.199e+03,2.849e+01,1.266e+03
151.3,3.352e+01,1.147e+03,2.961e+01,1.211e+03
152.8,3.289e+01,1.155e+03,3.083e+01,1.219e+03
154.4,3.614e+01,1.290e+03,3.126e+01,1.358e+03
155.9,4.053e+01,1.544e+03,5.866e+01,1.643e+03
157.4,5.844e+01,1.759e+03,1.572e+02,1.975e+03
158.9,9.349e+01,1.915e+03,3.696e+02,2.378e+03
160.5,7.908e+01,1.744e+03,3.872e+02,2.210e+03
162.0,4.573e+01,1.329e+03,1.234e+02,1.499e+03
163.5,4.609e+01,1.210e+03,6.046e+01,1.317e+03
165.1,4.828e+01,1.261e+03,5.307e+01,1.362e+03
166.6,4.840e+01,1.387e+03,4.467e+01,1.480e+03
168.1,4.550e+01,1.343e+03,4.617e+01,1.435e+03
169.6,4.963e+01,1.247e+03,4.349e+01,1.341e+03
171.2,5.358e+01,1.144e+03,5.121e+01,1.249e+03
172.7,5.378e+01,1.077e+03,5.687e+01,1.188e+03
174.2,5.331e+01,1.089e+03,5.753e+01,1.200e+03
175.8,5.472e+01,1.089e+03,5.384e+01,1.198e+03
