freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.768e+00,1.081e+01,7.620e+02,7.826e+02
1.5,2.818e+01,2.089e+01,4.516e+02,5.006e+02
3.0,2.649e+01,1.784e+01,2.885e+01,7.317e+01
4.4,2.708e+01,1.914e+01,2.593e+02,3.055e+02
5.9,2.896e+01,1.811e+01,1.142e+03,1.189e+03
7.4,2.678e+01,2.123e+01,2.030e+03,2.078e+03
8.9,2.427e+01,2.897e+01,2.551e+03,2.605e+03
10.4,2.703e+01,2.317e+01,3.230e+03,3.281e+03
11.8,3.004e+01,1.890e+01,4.250e+03,4.299e+03
13.3,2.724e+01,1.748e+01,5.514e+03,5.559e+03
14.8,3.314e+01,1.762e+01,7.268e+03,7.318e+03
16.3,4.527e+01,2.023e+01,9.404e+03,9.470e+03
17.8,8.623e+01,2.373e+01,1.093e+04,1.104e+04
19.2,9.685e+01,2.259e+01,1.216e+04,1.228e+04
20.7,6.116e+01,2.061e+01,1.454e+04,1.462e+04
22.2,3.962e+01,2.513e+01,1.792e+04,1.799e+04
23.7,3.007e+01,2.411e+01,2.156e+04,2.162e+04
25.2,3.008e+01,1.950e+01,2.506e+04,2.511e+04
26.6,3.172e+01,1.794e+01,2.860e+04,2.865e+04
28.1,3.331e+01,1.818e+01,3.247e+04,3.252e+04
29.6,3.184e+01,1.857e+01,3.705e+04,3.710e+04
31.1,3.080e+01,1.820e+01,4.262e+04,4.267e+04
32.6,4.074e+01,2.081e+01,4.859e+04,4.865e+04
34.0,4.375e+01,2.122e+01,5.439e+04,5.445e+04
35.5,3.426e+01,2.065e+01,6.244e+04,6.249e+04
37.0,3.044e+01,2.187e+01,7.078e+04,7.084e+04
38.5,2.979e+01,2.235e+01,7.941e+04,7.946e+04
40.0,3.605e+01,2.597e+01,9.103e+04,9.109e+04
41.4,4.468e+01,2.981e+01,1.059e+05,1.059e+05
42.9,5.981e+01,3.426e+01,1.255e+05,1.256e+05
44.4,7.437e+01,4.415e+01,1.509e+05,1.511e+05
45.9,8.852e+01,6.902e+01,1.806e+05,1.808e+05
47.4,1.181e+02,9.886e+01,2.167e+05,2.169e+05
48.8,1.732e+02,1.386e+02,2.576e+05,2.579e+05
50.3,2.699e+02,2.103e+02,3.153e+05,3.158e+05
51.8,4.043e+02,3.426e+02,3.895e+05,3.902e+05
53.3,6.029e+02,5.149e+02,4.964e+05,4.975e+05
54.8,9.276e+02,8.362e+02,6.573e+05,6.590e+05
56.2,1.522e+03,1.434e+03,9.100e+05,9.130e+05
57.7,2.533e+03,2.530e+03,1.338e+06,1.343e+06
59.2,3.572e+03,4.382e+03,1.937e+06,1.945e+06
60.7,5.621e+03,7.452e+03,2.668e+06,2.681e+06
62.2,7.895e+03,1.179e+04,3.480e+06,3.499e+06
63.6,8.803e+03,1.538e+04,3.956e+06,3.980e+06
65.1,6.865e+03,1.591e+04,3.641e+06,3.663e+06
