freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.678e+01,1.516e+01,4.066e+02,4.486e+02
1.5,2.468e+01,1.985e+01,2.379e+02,2.824e+02
3.1,1.264e+01,1.238e+01,2.832e+01,5.334e+01
4.6,1.299e+01,1.271e+01,3.246e+02,3.503e+02
6.1,1.173e+01,1.335e+01,1.204e+03,1.229e+03
7.7,1.150e+01,1.682e+01,1.997e+03,2.025e+03
9.2,1.143e+01,1.693e+01,2.486e+03,2.515e+03
10.7,1.248e+01,1.481e+01,3.390e+03,3.417e+03
12.2,1.275e+01,1.449e+01,4.612e+03,4.639e+03
13.8,1.397e+01,1.404e+01,5.984e+03,6.012e+03
15.3,2.267e+01,1.382e+01,7.684e+03,7.721e+03
16.8,3.475e+01,1.536e+01,9.625e+03,9.675e+03
18.4,3.752e+01,1.800e+01,1.164e+04,1.169e+04
19.9,5.292e+01,1.887e+01,1.305e+04,1.312e+04
21.4,4.550e+01,1.707e+01,1.569e+04,1.575e+04
23.0,2.821e+01,1.761e+01,1.872e+04,1.877e+04
24.5,2.269e+01,1.881e+01,2.217e+04,2.222e+04
26.0,2.488e+01,1.906e+01,2.584e+04,2.588e+04
27.6,2.480e+01,1.575e+01,3.019e+04,3.023e+04
29.1,2.379e+01,1.411e+01,3.595e+04,3.599e+04
30.6,3.409e+01,1.826e+01,4.230e+04,4.236e+04
32.1,8.239e+01,2.428e+01,4.928e+04,4.939e+04
33.7,1.041e+02,3.306e+01,5.663e+04,5.677e+04
35.2,5.474e+01,4.387e+01,6.613e+04,6.622e+04
36.7,5.701e+01,5.709e+01,7.691e+04,7.702e+04
38.3,9.133e+01,6.006e+01,8.230e+04,8.245e+04
39.8,1.478e+02,5.121e+01,8.702e+04,8.722e+04
41.3,2.624e+02,4.841e+01,1.029e+05,1.032e+05
42.9,4.715e+02,7.650e+01,1.281e+05,1.286e+05
44.4,9.103e+02,1.441e+02,1.626e+05,1.637e+05
45.9,1.769e+03,2.559e+02,2.062e+05,2.082e+05
47.4,3.314e+03,4.257e+02,2.636e+05,2.674e+05
49.0,5.487e+03,7.688e+02,3.419e+05,3.481e+05
50.5,8.391e+03,1.538e+03,4.615e+05,4.714e+05
52.0,1.409e+04,3.220e+03,6.370e+05,6.543e+05
53.6,2.629e+04,6.996e+03,9.451e+05,9.784e+05
55.1,4.633e+04,1.328e+04,1.335e+06,1.395e+06
56.6,7.218e+04,2.278e+04,1.585e+06,1.680e+06
58.2,9.746e+04,3.400e+04,1.612e+06,1.743e+06
59.7,1.044e+05,3.902e+04,1.388e+06,1.531e+06
61.2,9.935e+04,3.861e+04,1.108e+06,1.246e+06
62.8,8.663e+04,3.440e+04,8.765e+05,9.975e+05
64.3,6.638e+04,2.635e+04,7.007e+05,7.934e+05
65.8,4.606e+04,1.769e+04,6.037e+05,6.674e+05
67.3,3.280e+04,1.245e+04,5.323e+05,5.775e+05
68.9,2.560e+04,9.879e+03,4.462e+05,4.817e+05
70.4,2.068e+04,8.051e+03,3.568e+05,3.855e+05
71.9,1.634e+04,6.285e+03,2.821e+05,3.047e+05
73.5,1.270e+04,4.684e+03,2.287e+05,2.461e+05
75.0,1.054e+04,3.869e+03,1.882e+05,2.027e+05
76.5,1.065e+04,4.241e+03,1.580e+05,1.729e+05
78.1,1.059e+04,4.129e+03,1.318e+05,1.465e+05
79.6,8.774e+03,2.988e+03,1.106e+05,1.224e+05
81.1,7.216e+03,1.987e+03,9.584e+04,1.050e+05
82.7,5.489e+03,1.156e+03,8.346e+04,9.010e+04
84.2,3.209e+03,7.017e+02,7.391e+04,7.782e+04
85.7,1.931e+03,8.736e+02,6.625e+04,6.905e+04
87.2,1.987e+03,1.380e+03,5.686e+04,6.022e+04
88.8,2.168e+03,1.968e+03,5.108e+04,5.521e+04
90.3,2.890e+03,2.934e+03,4.693e+04,5.275e+04
91.8,3.536e+03,3.080e+03,4.360e+04,5.022e+04
93.4,2.415e+03,2.470e+03,3.754e+04,4.243e+04
94.9,1.422e+03,2.604e+03,2.839e+04,3.241e+04
96.4,1.068e+03,3.269e+03,1.993e+04,2.427e+04
98.0,1.205e+03,4.015e+03,1.386e+04,1.908e+04
99.5,1.714e+03,4.506e+03,9.856e+03,1.608e+04
101.0,2.659e+03,5.023e+03,7.411e+03,1.509e+04
102.6,3.973e+03,6.303e+03,5.975e+03,1.625e+04
104.1,4.366e+03,7.135e+03,5.001e+03,1.650e+04
105.6,4.132e+03,6.809e+03,3.924e+03,1.486e+04
107.1,4.128e+03,9.922e+03,3.197e+03,1.725e+04
108.7,4.677e+03,9.957e+03,3.322e+03,1.796e+04
110.2,6.715e+03,8.418e+03,3.342e+03,1.847e+04
111.7,6.210e+03,1.073e+04,3.723e+03,2.066e+04
113.3,5.217e+03,8.903e+03,4.284e+03,1.840e+04
114.8,5.439e+03,7.293e+03,4.987e+03,1.772e+04
116.3,6.075e+03,7.035e+03,6.088e+03,1.920e+04
117.9,7.205e+03,6.661e+03,7.914e+03,2.178e+04
119.4,8.530e+03,5.726e+03,1.029e+04,2.455e+04
120.9,1.004e+04,5.138e+03,1.317e+04,2.835e+04
122.5,1.206e+04,4.093e+03,1.666e+04,3.281e+04
124.0,1.480e+04,3.166e+03,2.130e+04,3.926e+04
125.5,1.825e+04,3.837e+03,2.909e+04,5.117e+04
127.0,2.375e+04,3.646e+03,4.203e+04,6.943e+04
128.6,3.089e+04,3.169e+03,6.161e+04,9.567e+04
130.1,3.709e+04,2.779e+03,8.486e+04,1.247e+05
131.6,3.683e+04,2.267e+03,9.363e+04,1.327e+05
133.2,2.020e+04,1.067e+03,5.705e+04,7.832e+04
134.7,9.825e+03,4.091e+02,3.423e+04,4.447e+04
136.2,1.104e+04,3.732e+02,4.227e+04,5.368e+04
137.8,1.315e+04,5.490e+02,5.275e+04,6.645e+04
139.3,1.536e+04,8.789e+02,6.450e+04,8.074e+04
140.8,1.727e+04,1.354e+03,7.641e+04,9.504e+04
142.3,1.870e+04,1.928e+03,8.689e+04,1.075e+05
143.9,1.993e+04,2.767e+03,9.762e+04,1.203e+05
145.4,2.112e+04,3.958e+03,1.094e+05,1.345e+05
146.9,2.096e+04,4.956e+03,1.136e+05,1.395e+05
148.5,2.039e+04,6.092e+03,1.140e+05,1.404e+05
150.0,1.987e+04,6.942e+03,1.134e+05,1.402e+05
151.5,1.864e+04,7.283e+03,1.072e+05,1.331e+05
153.1,1.815e+04,7.617e+03,1.017e+05,1.275e+05
154.6,1.932e+04,8.989e+03,1.067e+05,1.350e+05
156.1,1.903e+04,9.590e+03,1.056e+05,1.342e+05
157.7,1.752e+04,9.736e+03,9.847e+04,1.257e+05
159.2,1.569e+04,9.712e+03,8.931e+04,1.147e+05
160.7,1.467e+04,1.033e+04,8.557e+04,1.106e+05
162.2,1.488e+04,1.288e+04,8.958e+04,1.173e+05
163.8,1.413e+04,1.462e+04,8.691e+04,1.157e+05
165.3,1.365e+04,1.667e+04,8.545e+04,1.158e+05
166.8,1.278e+04,1.847e+04,8.046e+04,1.117e+05
168.4,1.127e+04,1.733e+04,6.828e+04,9.688e+04
169.9,9.802e+03,1.652e+04,5.674e+04,8.306e+04
171.4,8.306e+03,1.531e+04,4.531e+04,6.893e+04
173.0,6.958e+03,1.347e+04,3.477e+04,5.519e+04
174.5,5.933e+03,1.113e+04,2.613e+04,4.319e+04
176.0,5.267e+03,8.984e+03,1.991e+04,3.416e+04
177.6,4.651e+03,6.604e+03,1.477e+04,2.603e+04
179.1,3.796e+03,4.335e+03,9.968e+03,1.810e+04
180.6,3.485e+03,4.527e+03,9.195e+03,1.721e+04
182.1,3.426e+03,5.045e+03,9.642e+03,1.811e+04
183.7,3.215e+03,5.810e+03,1.037e+04,1.940e+04
185.2,2.849e+03,5.909e+03,9.712e+03,1.847e+04
186.7,2.333e+03,6.322e+03,8.451e+03,1.711e+04
188.3,2.015e+03,7.039e+03,7.935e+03,1.699e+04
189.8,1.839e+03,7.804e+03,7.572e+03,1.722e+04
191.3,1.653e+03,9.058e+03,7.288e+03,1.800e+04
192.9,1.684e+03,1.150e+04,7.547e+03,2.073e+04
194.4,1.988e+03,1.559e+04,8.333e+03,2.591e+04
195.9,2.291e+03,1.930e+04,8.500e+03,3.009e+04
197.5,2.611e+03,2.269e+04,8.340e+03,3.365e+04
199.0,3.127e+03,2.645e+04,8.615e+03,3.820e+04
