freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.670e+01,4.202e+02,3.480e+00,4.604e+02
1.5,3.356e+01,2.428e+02,1.582e+01,2.921e+02
3.1,1.733e+01,1.909e+01,1.933e+01,5.575e+01
4.6,1.407e+01,3.282e+02,2.058e+01,3.628e+02
6.1,1.468e+01,1.356e+03,1.912e+01,1.389e+03
7.7,1.712e+01,2.619e+03,2.675e+01,2.663e+03
9.2,2.016e+01,3.468e+03,3.320e+01,3.521e+03
10.7,2.415e+01,2.780e+03,2.236e+01,2.827e+03
12.3,2.367e+01,3.824e+03,2.072e+01,3.868e+03
13.8,2.542e+01,5.864e+03,2.409e+01,5.913e+03
15.3,4.867e+01,8.297e+03,3.526e+01,8.381e+03
16.9,7.573e+01,1.083e+04,4.603e+01,1.095e+04
18.4,4.772e+01,1.408e+04,4.215e+01,1.417e+04
19.9,8.710e+01,1.763e+04,4.504e+01,1.777e+04
21.4,1.183e+02,2.035e+04,3.394e+01,2.050e+04
23.0,5.925e+01,2.300e+04,2.499e+01,2.309e+04
24.5,3.311e+01,2.606e+04,2.011e+01,2.611e+04
26.0,3.230e+01,2.980e+04,3.200e+01,2.986e+04
27.6,4.132e+01,3.774e+04,4.856e+01,3.783e+04
29.1,4.537e+01,4.594e+04,4.640e+01,4.603e+04
30.6,4.207e+01,5.698e+04,3.301e+01,5.705e+04
32.2,6.811e+01,7.632e+04,3.317e+01,7.642e+04
33.7,1.646e+02,1.051e+05,5.068e+01,1.053e+05
35.2,2.943e+02,1.470e+05,1.138e+02,1.474e+05
36.8,4.681e+02,2.092e+05,2.810e+02,2.100e+05
38.3,8.183e+02,3.031e+05,5.619e+02,3.045e+05
39.8,1.654e+03,4.409e+05,5.711e+02,4.431e+05
41.4,3.581e+03,6.845e+05,6.649e+02,6.888e+05
42.9,8.189e+03,1.073e+06,1.448e+03,1.083e+06
44.4,1.414e+04,1.285e+06,2.113e+03,1.302e+06
46.0,1.772e+04,1.165e+06,1.971e+03,1.185e+06
47.5,1.833e+04,8.996e+05,1.427e+03,9.194e+05
49.0,1.743e+04,6.608e+05,9.681e+02,6.792e+05
50.6,1.625e+04,4.742e+05,6.752e+02,4.912e+05
52.1,1.520e+04,3.371e+05,5.014e+02,3.528e+05
53.6,1.576e+04,2.601e+05,3.990e+02,2.763e+05
55.1,1.683e+04,2.008e+05,2.801e+02,2.179e+05
56.7,1.825e+04,1.533e+05,1.827e+02,1.717e+05
58.2,2.020e+04,1.172e+05,9.746e+01,1.375e+05
59.7,2.241e+04,8.732e+04,8.685e+01,1.098e+05
61.3,2.588e+04,6.724e+04,1.992e+02,9.332e+04
62.8,2.923e+04,5.330e+04,3.117e+02,8.284e+04
64.3,3.155e+04,4.122e+04,3.896e+02,7.316e+04
65.9,3.623e+04,3.051e+04,4.830e+02,6.722e+04
67.4,4.741e+04,2.106e+04,4.941e+02,6.896e+04
68.9,6.708e+04,1.502e+04,4.070e+02,8.251e+04
70.5,9.309e+04,1.655e+04,3.789e+02,1.100e+05
72.0,1.304e+05,2.993e+04,4.606e+02,1.608e+05
73.5,1.775e+05,6.054e+04,6.842e+02,2.387e+05
75.1,2.360e+05,1.163e+05,1.319e+03,3.536e+05
76.6,2.805e+05,1.815e+05,1.906e+03,4.639e+05
78.1,2.570e+05,2.032e+05,1.938e+03,4.621e+05
79.7,1.888e+05,1.759e+05,1.701e+03,3.663e+05
81.2,1.336e+05,1.413e+05,1.308e+03,2.762e+05
