freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.292e+01,4.119e+02,5.353e+00,4.902e+02
1.5,5.266e+01,2.369e+02,1.743e+01,3.069e+02
3.1,1.518e+01,1.865e+01,1.923e+01,5.306e+01
4.6,1.512e+01,3.373e+02,1.863e+01,3.711e+02
6.1,1.584e+01,1.404e+03,1.853e+01,1.438e+03
7.7,1.554e+01,2.672e+03,3.109e+01,2.719e+03
9.2,1.850e+01,3.199e+03,3.928e+01,3.257e+03
10.7,1.934e+01,2.722e+03,2.237e+01,2.764e+03
12.2,2.211e+01,3.893e+03,2.361e+01,3.939e+03
13.8,2.650e+01,5.851e+03,3.092e+01,5.909e+03
15.3,5.002e+01,8.113e+03,4.472e+01,8.208e+03
16.8,6.010e+01,1.066e+04,4.633e+01,1.077e+04
18.4,5.780e+01,1.401e+04,4.943e+01,1.411e+04
19.9,1.300e+02,1.737e+04,4.427e+01,1.755e+04
21.4,1.248e+02,2.045e+04,3.132e+01,2.061e+04
23.0,4.610e+01,2.401e+04,2.307e+01,2.408e+04
24.5,5.391e+01,2.759e+04,4.209e+01,2.768e+04
26.0,6.546e+01,3.163e+04,7.343e+01,3.177e+04
27.6,9.160e+01,3.944e+04,7.352e+01,3.960e+04
29.1,1.904e+02,5.116e+04,7.601e+01,5.142e+04
30.6,2.741e+02,6.773e+04,1.011e+02,6.810e+04
32.1,4.638e+02,9.206e+04,1.081e+02,9.263e+04
33.7,7.526e+02,1.267e+05,1.382e+02,1.276e+05
35.2,1.047e+03,1.808e+05,3.024e+02,1.822e+05
36.7,1.955e+03,2.636e+05,5.228e+02,2.661e+05
38.3,4.954e+03,4.178e+05,6.619e+02,4.234e+05
39.8,1.311e+04,7.173e+05,9.764e+02,7.314e+05
41.3,2.841e+04,1.080e+06,1.809e+03,1.110e+06
42.9,4.111e+04,1.099e+06,2.209e+03,1.142e+06
44.4,4.531e+04,8.442e+05,1.852e+03,8.914e+05
45.9,4.552e+04,5.880e+05,1.354e+03,6.349e+05
47.5,4.375e+04,3.863e+05,9.954e+02,4.310e+05
49.0,4.198e+04,2.478e+05,7.772e+02,2.906e+05
50.5,4.172e+04,1.623e+05,6.051e+02,2.047e+05
52.0,4.204e+04,1.041e+05,4.995e+02,1.466e+05
53.6,4.670e+04,6.769e+04,5.083e+02,1.149e+05
55.1,5.375e+04,4.118e+04,4.820e+02,9.541e+04
56.6,6.235e+04,2.473e+04,4.809e+02,8.756e+04
58.2,6.485e+04,1.739e+04,3.570e+02,8.259e+04
59.7,6.759e+04,1.389e+04,1.769e+02,8.165e+04
61.2,8.261e+04,1.571e+04,8.878e+01,9.841e+04
62.8,1.079e+05,2.713e+04,6.151e+01,1.351e+05
64.3,1.295e+05,4.844e+04,7.859e+01,1.780e+05
65.8,1.537e+05,8.676e+04,2.287e+02,2.407e+05
67.4,2.331e+05,1.928e+05,5.061e+02,4.264e+05
68.9,4.036e+05,4.460e+05,7.192e+02,8.503e+05
70.4,4.641e+05,5.973e+05,7.520e+02,1.062e+06
71.9,3.674e+05,5.196e+05,8.634e+02,8.878e+05
73.5,2.604e+05,4.035e+05,8.984e+02,6.648e+05
75.0,1.885e+05,3.152e+05,9.094e+02,5.046e+05
76.5,1.438e+05,2.510e+05,8.272e+02,3.956e+05
78.1,1.096e+05,1.924e+05,1.183e+03,3.033e+05
79.6,9.034e+04,1.562e+05,1.630e+03,2.482e+05
81.1,7.980e+04,1.348e+05,1.697e+03,2.163e+05
82.7,6.833e+04,1.185e+05,2.311e+03,1.892e+05
84.2,5.887e+04,1.096e+05,3.303e+03,1.718e+05
85.7,5.343e+04,1.069e+05,4.190e+03,1.645e+05
87.3,4.849e+04,1.014e+05,4.153e+03,1.541e+05
88.8,4.439e+04,9.311e+04,3.894e+03,1.414e+05
90.3,4.572e+04,9.852e+04,5.579e+03,1.498e+05
91.8,4.872e+04,1.011e+05,4.733e+03,1.545e+05
93.4,4.921e+04,8.857e+04,3.610e+03,1.414e+05
94.9,4.908e+04,7.967e+04,3.900e+03,1.326e+05
96.4,4.980e+04,7.146e+04,4.384e+03,1.256e+05
98.0,5.101e+04,6.148e+04,4.864e+03,1.174e+05
99.5,5.210e+04,5.023e+04,5.008e+03,1.073e+05
101.0,5.258e+04,4.032e+04,5.032e+03,9.793e+04
102.6,4.523e+04,3.186e+04,4.499e+03,8.159e+04
104.1,3.083e+04,2.423e+04,3.531e+03,5.859e+04
105.6,2.063e+04,2.535e+04,3.108e+03,4.909e+04
107.2,1.679e+04,3.625e+04,3.185e+03,5.622e+04
108.7,1.257e+04,4.527e+04,3.107e+03,6.094e+04
110.2,7.537e+03,4.843e+04,3.028e+03,5.899e+04
111.7,4.479e+03,5.666e+04,3.032e+03,6.417e+04
113.3,2.497e+03,6.179e+04,2.912e+03,6.720e+04
114.8,1.184e+03,6.663e+04,2.783e+03,7.059e+04
116.3,4.513e+02,6.835e+04,2.626e+03,7.142e+04
117.9,1.553e+02,6.624e+04,2.552e+03,6.895e+04
119.4,1.274e+02,6.278e+04,2.773e+03,6.568e+04
120.9,2.481e+02,5.948e+04,3.201e+03,6.293e+04
122.5,5.151e+02,5.575e+04,4.001e+03,6.026e+04
124.0,8.827e+02,6.007e+04,4.537e+03,6.549e+04
125.5,1.157e+03,6.164e+04,4.323e+03,6.712e+04
127.1,1.430e+03,5.933e+04,4.111e+03,6.487e+04
128.6,1.695e+03,5.839e+04,3.898e+03,6.398e+04
130.1,1.791e+03,5.780e+04,3.666e+03,6.326e+04
131.6,1.706e+03,5.330e+04,3.417e+03,5.842e+04
133.2,9.397e+02,2.852e+04,2.011e+03,3.147e+04
134.7,1.811e+02,3.981e+03,6.734e+02,4.835e+03
136.2,1.229e+02,1.864e+03,5.982e+02,2.585e+03
137.8,1.334e+02,2.098e+03,5.891e+02,2.820e+03
139.3,1.872e+02,2.107e+03,5.368e+02,2.831e+03
140.8,2.360e+02,1.979e+03,4.296e+02,2.645e+03
142.4,2.622e+02,1.830e+03,3.684e+02,2.461e+03
143.9,2.742e+02,1.799e+03,3.345e+02,2.408e+03
145.4,2.761e+02,1.853e+03,3.547e+02,2.484e+03
147.0,3.092e+02,1.827e+03,4.656e+02,2.602e+03
148.5,3.141e+02,1.772e+03,5.636e+02,2.650e+03
150.0,3.076e+02,1.748e+03,6.436e+02,2.699e+03
151.5,2.830e+02,1.733e+03,6.921e+02,2.708e+03
153.1,2.789e+02,1.821e+03,7.599e+02,2.859e+03
154.6,2.755e+02,1.990e+03,7.932e+02,3.058e+03
156.1,2.758e+02,1.912e+03,9.229e+02,3.110e+03
157.7,3.076e+02,1.868e+03,1.266e+03,3.442e+03
159.2,3.299e+02,2.092e+03,1.679e+03,4.100e+03
160.7,3.175e+02,2.382e+03,2.008e+03,4.707e+03
162.3,3.359e+02,2.618e+03,2.416e+03,5.370e+03
163.8,3.441e+02,2.795e+03,2.809e+03,5.949e+03
165.3,3.119e+02,3.024e+03,3.032e+03,6.369e+03
166.9,2.616e+02,2.849e+03,2.553e+03,5.663e+03
168.4,2.423e+02,2.273e+03,1.949e+03,4.464e+03
169.9,2.453e+02,1.749e+03,1.444e+03,3.439e+03
171.4,2.428e+02,1.359e+03,1.052e+03,2.654e+03
173.0,2.306e+02,1.118e+03,8.098e+02,2.158e+03
174.5,2.118e+02,1.108e+03,7.309e+02,2.050e+03
176.0,1.909e+02,1.341e+03,7.706e+02,2.303e+03
177.6,1.730e+02,1.842e+03,8.686e+02,2.884e+03
179.1,1.549e+02,2.433e+03,8.845e+02,3.472e+03
180.6,1.724e+02,2.506e+03,8.543e+02,3.532e+03
182.2,1.791e+02,2.145e+03,8.915e+02,3.216e+03
183.7,1.706e+02,1.949e+03,9.944e+02,3.114e+03
185.2,2.149e+02,1.609e+03,9.096e+02,2.733e+03
186.8,2.252e+02,1.390e+03,8.303e+02,2.446e+03
188.3,1.851e+02,1.220e+03,7.630e+02,2.168e+03
189.8,1.535e+02,1.025e+03,5.663e+02,1.745e+03
191.3,1.481e+02,8.096e+02,2.898e+02,1.247e+03
192.9,1.547e+02,7.530e+02,1.917e+02,1.099e+03
194.4,1.363e+02,7.922e+02,1.713e+02,1.100e+03
195.9,1.240e+02,7.295e+02,1.520e+02,1.006e+03
197.5,1.351e+02,5.875e+02,1.779e+02,9.005e+02
199.0,1.426e+02,5.133e+02,2.029e+02,8.588e+02
