freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.999e+01,1.576e+01,6.223e+02,6.580e+02
1.5,6.804e+01,4.937e+01,3.659e+02,4.833e+02
2.9,8.062e+01,5.130e+01,2.885e+01,1.608e+02
4.4,7.700e+01,4.638e+01,2.289e+02,3.523e+02
5.9,7.845e+01,4.515e+01,1.048e+03,1.172e+03
7.3,9.797e+01,5.356e+01,1.939e+03,2.090e+03
8.8,1.026e+02,5.855e+01,2.506e+03,2.667e+03
10.2,9.471e+01,6.154e+01,3.103e+03,3.259e+03
11.7,1.044e+02,6.598e+01,4.159e+03,4.329e+03
13.2,1.487e+02,8.515e+01,5.439e+03,5.673e+03
14.6,1.655e+02,9.741e+01,7.109e+03,7.371e+03
16.1,1.642e+02,9.495e+01,9.285e+03,9.544e+03
17.6,1.417e+02,8.229e+01,1.091e+04,1.114e+04
19.0,9.562e+01,6.496e+01,1.257e+04,1.273e+04
20.5,1.066e+02,5.470e+01,1.390e+04,1.406e+04
21.9,1.105e+02,5.765e+01,1.730e+04,1.747e+04
23.4,9.841e+01,6.419e+01,2.182e+04,2.198e+04
24.9,9.726e+01,6.206e+01,2.520e+04,2.536e+04
26.3,1.046e+02,6.164e+01,2.767e+04,2.784e+04
27.8,1.029e+02,6.290e+01,3.034e+04,3.050e+04
29.3,9.967e+01,6.089e+01,3.315e+04,3.331e+04
30.7,9.201e+01,5.738e+01,3.643e+04,3.658e+04
32.2,1.054e+02,6.389e+01,4.017e+04,4.034e+04
33.6,1.196e+02,6.552e+01,4.374e+04,4.393e+04
35.1,1.112e+02,6.496e+01,4.782e+04,4.800e+04
36.6,1.070e+02,7.032e+01,5.261e+04,5.279e+04
38.0,9.926e+01,7.340e+01,5.692e+04,5.710e+04
39.5,9.082e+01,7.294e+01,6.133e+04,6.149e+04
41.0,9.174e+01,7.308e+01,6.792e+04,6.808e+04
42.4,9.488e+01,6.194e+01,7.930e+04,7.946e+04
43.9,1.037e+02,7.313e+01,9.482e+04,9.500e+04
